"Series_A","Series_B","Radius_A","Radius_B","overlap","r","r_wuchs","t","t_wuchs","SGC","SSGC","p","sum_sims"
"VILE101","TROY215","T","T",51,0.81756043,0.57977182,10.03924182,4.98098664,0.7,0,0.004677735,1.777870484
"VILE101","TROY216","T","T",56,0.82834582,0.61603106,10.9657078,5.74680677,0.72727273,0,0.0007489604,1.917984467
"VILE101","VEND036","T","T",56,0.10746,0.51841502,0.80158633,4.45494913,0.70909091,0,0.0019266038,1.673000843
"VILE101","VEND096","T","T",56,0.27631645,0.6861108,2.13223247,6.93042547,0.76363636,0.01818182,9.2159e-05,2.142789707
"VILE101","VEND107","T","Q",56,0.43867034,0.57634325,3.62017838,5.18257541,0.74545455,0,0.0002719197,1.840055341
"VILE101","VEND107","T","T",56,0.43867034,0.57634325,3.62017838,5.18257541,0.74545455,0,0.0002719197,1.840055341
"VILE101","VEND116","T","T",56,0.64851968,0.56141171,6.31839728,4.9852979,0.70909091,0.01818182,0.0019266038,1.76903241
"VILE101","VEND143","T","T",56,0.87634584,0.57613661,13.49261306,5.17979376,0.76363636,0,9.2159e-05,1.857752346
"VILE101","ZWS4016","T","3",56,0.67659447,0.52880376,6.81431267,4.57840946,0.74545455,0,0.0002719197,1.732099256
"VITT102","VITT103","X","T",85,0.42233237,0.61161289,4.27026135,7.04292245,0.70238095,0.02380952,0.0002075016,2.018286085
"VITT102","VITT107","X","T",61,0.30947762,0.64168191,2.5209658,6.42638777,0.75,0.01666667,0.0001075112,2.034320687
"VITT102","VITT107","T","T",61,0.30947762,0.64168191,2.5209658,6.42638777,0.75,0.01666667,0.0001075112,2.034320687
"VITT103","VEND034","T","T",57,0.33579831,0.6127957,2.66779275,5.75091957,0.82142857,0.01785714,1.504e-06,2.009316227
"VITT103","VITT102","T","X",85,0.42233237,0.61161289,4.27026135,7.04292245,0.70238095,0.02380952,0.0002075016,2.018286085
"VITT103","VITT106","T","Q",100,0.80241648,0.54481839,13.37871797,6.43181766,0.70707071,0.02020202,3.77797e-05,1.895070866
"VITT103","VITT107","T","T",61,0.6631245,0.6813774,6.86236168,7.15060589,0.73333333,0,0.0003005976,2.129771319
"VITT103","VITT109","T","T",86,0.68724061,0.58951313,8.72217089,6.68884962,0.70588235,0,0.0001468818,1.964280442
"VITT106","VITT103","Q","T",100,0.80241648,0.54481839,13.37871797,6.43181766,0.70707071,0.02020202,3.77797e-05,1.895070866
"VITT106","VITT109","Q","T",108,0.79431273,0.59184372,13.52479321,7.55955995,0.73831776,0.01869159,8.208e-07,2.086117475
"VITT107","BOUX101","T","T",61,0.42073091,0.51682293,3.59239394,4.63710762,0.73333333,0.01666667,0.0003005976,1.713867022
"VITT107","FLEV107","T","T",51,0.47794996,0.57876334,3.84752541,4.9679528,0.74,0.02,0.0006885139,1.81555862
"VITT107","FLEV122","T","T",61,0.34399679,0.56593405,2.83777469,5.27262928,0.73333333,0.03333333,0.0003005976,1.826530308
"VITT107","VEND255","T","T",61,0.39372526,0.51373611,3.31776473,4.59944047,0.76666667,0,3.60902e-05,1.740346827
"VITT107","VITT102","T","T",61,0.30947762,0.64168191,2.5209658,6.42638777,0.75,0.01666667,0.0001075112,2.034320687
"VITT107","VITT102","T","X",61,0.30947762,0.64168191,2.5209658,6.42638777,0.75,0.01666667,0.0001075112,2.034320687
"VITT107","VITT103","T","T",61,0.6631245,0.6813774,6.86236168,7.15060589,0.73333333,0,0.0003005976,2.129771319
"VITT109","VITT103","T","T",86,0.68724061,0.58951313,8.72217089,6.68884962,0.70588235,0,0.0001468818,1.964280442
"VITT109","VITT106","T","Q",108,0.79431273,0.59184372,13.52479321,7.55955995,0.73831776,0.01869159,8.208e-07,2.086117475
"VL00373","BHC0038","1","0",51,0.45832379,0.50990149,3.6463684,4.14923773,0.72,0.02,0.0018628463,1.644825263
"VL00373","DIFO035","1","1",51,0.15065489,0.5378266,1.07759009,4.4656447,0.74,0.02,0.0006885139,1.72439107
"VL00373","ELS0007","1","0",51,0.212424,0.5235448,1.53714589,4.30143382,0.7,0,0.004677735,1.653688182
"VL00373","FLOR101","1","T",51,0.16709267,0.54949228,1.19837129,4.60377197,0.7,0,0.004677735,1.709869477
"VL00373","FLOR103","1","T",51,0.34232196,0.52017421,2.57623065,4.26342259,0.7,0,0.004677735,1.646516469
"VL00373","SARR620","1","T",51,0.16455138,0.56127798,1.1796341,4.74724024,0.74,0.02,0.0006885139,1.776002004
"VL00373","SILL_QT6","1","R",51,0.2108717,0.53351568,1.52538839,4.41552752,0.7,0.02,0.004677735,1.675068432
"VL00373","TROY055","1","T",51,0.38212124,0.58361538,2.92389297,5.0309798,0.8,0.02,2.20905e-05,1.88671336
"VL00373","TROY083","1","T",51,0.33593437,0.52929202,2.52197849,4.36689146,0.7,0.02,0.004677735,1.665981166
"VL00373","TROY176","1","T",51,0.38261028,0.54403289,2.92827629,4.53866533,0.74,0,0.0006885139,1.737899423
"VL00373","VAL0011","1","1",51,0.05284776,0.52735798,0.374213,4.34477189,0.7,0.02,0.004677735,1.661835169
"VL00373","VFH0041","1","0",51,-0.11463431,0.50068391,-0.81596602,4.04882755,0.7,0.04,0.004677735,1.605566665
"VL00373","VL05289","1","Q",51,0.51678245,0.61153791,4.26834745,5.41036836,0.72,0,0.0018628463,1.872574746
"VL00373","VL05289","1","1",51,0.51678245,0.61153791,4.26834745,5.41036836,0.72,0,0.0018628463,1.872574746
"VL00373","ZWS4013","1","4",51,0.17537524,0.54216509,1.25961211,4.51657999,0.72,0.02,0.0018628463,1.713823089
"VL00373","ZWS4016","1","0",51,0.29548727,0.60632168,2.1870705,5.33720798,0.7,0,0.004677735,1.840042478
"VL05269","SNP0001","1","0",53,0.50383743,0.50335974,4.2061006,4.16017065,0.75,0.07692308,0.000311491,1.669376805
"VL05269","VL05289","1","1",61,0.13173342,0.50060623,1.02937349,4.44188518,0.73333333,0.06666667,0.0003005976,1.678128078
